question,dedup_answer,answer,dataset_name,quality
What is (are) Primary CNS Lymphoma ?,"Key Points
                    - Primary central nervous system (CNS) lymphoma is a disease in which malignant (cancer) cells form in the lymph tissue of the brain and/or spinal cord.    - Having a weakened immune system may increase the risk of developing primary CNS lymphoma.     - Tests that examine the eyes, brain, and spinal cord are used to detect (find) and diagnose primary CNS lymphoma.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Primary central nervous system (CNS) lymphoma is a disease in which malignant (cancer) cells form in the lymph tissue of the brain and/or spinal cord.
                    Lymphoma is a disease in which malignant (cancer) cells form in the lymph system. The lymph system is part of the immune system and is made up of the lymph, lymph vessels, lymph nodes, spleen, thymus, tonsils, and bone marrow. Lymphocytes (carried in the lymph) travel in and out of the central nervous system (CNS). It is thought that some of these lymphocytes become malignant and cause lymphoma to form in the CNS. Primary CNS lymphoma can start in the brain, spinal cord, or meninges (the layers that form the outer covering of the brain). Because the eye is so close to the brain, primary CNS lymphoma can also start in the eye (called ocular lymphoma).","Key Points
                    - Primary central nervous system (CNS) lymphoma is a disease in which malignant (cancer) cells form in the lymph tissue of the brain and/or spinal cord.    - Having a weakened immune system may increase the risk of developing primary CNS lymphoma.     - Tests that examine the eyes, brain, and spinal cord are used to detect (find) and diagnose primary CNS lymphoma.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Primary central nervous system (CNS) lymphoma is a disease in which malignant (cancer) cells form in the lymph tissue of the brain and/or spinal cord.
                    Lymphoma is a disease in which malignant (cancer) cells form in the lymph system. The lymph system is part of the immune system and is made up of the lymph, lymph vessels, lymph nodes, spleen, thymus, tonsils, and bone marrow. Lymphocytes (carried in the lymph) travel in and out of the central nervous system (CNS). It is thought that some of these lymphocytes become malignant and cause lymphoma to form in the CNS. Primary CNS lymphoma can start in the brain, spinal cord, or meninges (the layers that form the outer covering of the brain). Because the eye is so close to the brain, primary CNS lymphoma can also start in the eye (called ocular lymphoma).",MedQuAD,1
How to diagnose Stiff person syndrome ?,"Is genetic testing available for stiff person syndrome? Genetic testing is not available for stiff person syndrome, as the underlying genetic cause (if any) has not yet been established. How is stiff person syndrome diagnosed? A diagnosis of stiff person syndrome (SPS) is typically made based on the presence of the characteristic symptoms, a detailed medical history, a thorough clinical exam, and various tests. Specific tests are used to support or confirm the diagnosis, and to rule out conditions with overlapping symptoms. These tests may include screening tests to detect antibodies against glutamic acid decarboxylase (GAD) and amphiphysin, and an electromyography (EMG) which records electrical activity in skeletal muscles. About 60% to 80% of affected people have autoantibodies against GAD. Although the absence of GAD antibodies does not rule out SPS, the presence of high levels of GAD antibodies in appropriate people strongly supports the diagnosis. An EMG typically shows continuous motor activity, which is characteristic of SPS. Very high levels of GAD antibodies and characteristic EMG findings will confirm the diagnosis in the majority of people with SPS. Additional laboratory testing may also be used to support a diagnosis of SPS, such as hemoglobin A1C (due to association with diabetes mellitus); complete blood count (due to association with pernicious anemia); comprehensive metabolic profile; and thyroid-stimulating hormone (due to association with thyroiditis). Lumbar puncture should be obtained in people with symptoms consistent with SPS to rule out other causes. Oligoclonal bands can be seen in about two thirds of affected people who are antibody-positive.","Is genetic testing available for stiff person syndrome? Genetic testing is not available for stiff person syndrome, as the underlying genetic cause (if any) has not yet been established. How is stiff person syndrome diagnosed? A diagnosis of stiff person syndrome (SPS) is typically made based on the presence of the characteristic symptoms, a detailed medical history, a thorough clinical exam, and various tests. Specific tests are used to support or confirm the diagnosis, and to rule out conditions with overlapping symptoms. These tests may include screening tests to detect antibodies against glutamic acid decarboxylase (GAD) and amphiphysin, and an electromyography (EMG) which records electrical activity in skeletal muscles. About 60% to 80% of affected people have autoantibodies against GAD. Although the absence of GAD antibodies does not rule out SPS, the presence of high levels of GAD antibodies in appropriate people strongly supports the diagnosis. An EMG typically shows continuous motor activity, which is characteristic of SPS. Very high levels of GAD antibodies and characteristic EMG findings will confirm the diagnosis in the majority of people with SPS. Additional laboratory testing may also be used to support a diagnosis of SPS, such as hemoglobin A1C (due to association with diabetes mellitus); complete blood count (due to association with pernicious anemia); comprehensive metabolic profile; and thyroid-stimulating hormone (due to association with thyroiditis). Lumbar puncture should be obtained in people with symptoms consistent with SPS to rule out other causes. Oligoclonal bands can be seen in about two thirds of affected people who are antibody-positive.",MedQuAD,1
What are the symptoms of Smith McCort dysplasia ?,"What are the signs and symptoms of Smith McCort dysplasia? The Human Phenotype Ontology provides the following list of signs and symptoms for Smith McCort dysplasia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Atlantoaxial instability - Autosomal recessive inheritance - Barrel-shaped chest - Beaking of vertebral bodies - Deformed sella turcica - Delayed femoral head ossification - Disproportionate short-trunk short stature - Dolichocephaly - Genu valgum - Genu varum - Hypoplasia of the odontoid process - Hypoplastic acetabulae - Hypoplastic facial bones - Hypoplastic scapulae - Irregular epiphyses - Kyphosis - Metaphyseal irregularity - Microcephaly - Multicentric femoral head ossification - Platyspondyly - Prominent sternum - Scoliosis - Short metacarpal - Short phalanx of finger - Waddling gait - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Smith McCort dysplasia? The Human Phenotype Ontology provides the following list of signs and symptoms for Smith McCort dysplasia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Atlantoaxial instability - Autosomal recessive inheritance - Barrel-shaped chest - Beaking of vertebral bodies - Deformed sella turcica - Delayed femoral head ossification - Disproportionate short-trunk short stature - Dolichocephaly - Genu valgum - Genu varum - Hypoplasia of the odontoid process - Hypoplastic acetabulae - Hypoplastic facial bones - Hypoplastic scapulae - Irregular epiphyses - Kyphosis - Metaphyseal irregularity - Microcephaly - Multicentric femoral head ossification - Platyspondyly - Prominent sternum - Scoliosis - Short metacarpal - Short phalanx of finger - Waddling gait - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",MedQuAD,1
What are the treatments for Ring chromosome 20 ?,"How might ring chromosome 20 be treated? Treatment of ring chromosome 20 is typically focused on management of seizures. The seizures associated with ring chromosome 20 do not generally respond well to medications. The treatment that is successful varies from person to person. Broad spectrum AEDs are usually tried first since they are active against different seizure types. This includes valproate, levetiracetam, lamotrigine, topiramate and zonisamide. Success has been reported in some people with a combination of valproate and lamotrigine, but so far no single therapy has worked for everyone.  Vagus nerve stimulation (VNS) has been tried and a reduction in seizures has been reported in some cases but not in others. This involves implanting a medical device under the skin, similar to a pacemaker that delivers a mild electrical current to the brain via the vagus nerve. The long-term effectiveness of VNS therapy is not yet known.  The ketogenic diet, which is high in fat and low in carbohydrate, has been shown to be helpful in other types of epilepsy. However there are no published reports about whether this is successful or not in ring chromosome 20 epilepsy. For more information on treatment of seizures in people with R20 and general information on ring chromosome 20, visit the following link from Unique, The Rare Chromosome Disorder Support Group, a non-profit organization that supports chromosomal disorders.  http://www.rarechromo.org/information/Chromosome%2020/Ring%2020%20FTNW.pdf","How might ring chromosome 20 be treated? Treatment of ring chromosome 20 is typically focused on management of seizures. The seizures associated with ring chromosome 20 do not generally respond well to medications. The treatment that is successful varies from person to person. Broad spectrum AEDs are usually tried first since they are active against different seizure types. This includes valproate, levetiracetam, lamotrigine, topiramate and zonisamide. Success has been reported in some people with a combination of valproate and lamotrigine, but so far no single therapy has worked for everyone.  Vagus nerve stimulation (VNS) has been tried and a reduction in seizures has been reported in some cases but not in others. This involves implanting a medical device under the skin, similar to a pacemaker that delivers a mild electrical current to the brain via the vagus nerve. The long-term effectiveness of VNS therapy is not yet known.  The ketogenic diet, which is high in fat and low in carbohydrate, has been shown to be helpful in other types of epilepsy. However there are no published reports about whether this is successful or not in ring chromosome 20 epilepsy. For more information on treatment of seizures in people with R20 and general information on ring chromosome 20, visit the following link from Unique, The Rare Chromosome Disorder Support Group, a non-profit organization that supports chromosomal disorders.  http://www.rarechromo.org/information/Chromosome%2020/Ring%2020%20FTNW.pdf",MedQuAD,1
What is (are) Neurofibroma ?,"A neurofibroma is a non-cancerous (benign) tumor that develops from the cells and tissues that cover nerves. Some people who develop neurofibromas have a genetic condition known as neurofibromatosis (NF). There are different types of NF, but type 1 is the most common.","A neurofibroma is a non-cancerous (benign) tumor that develops from the cells and tissues that cover nerves. Some people who develop neurofibromas have a genetic condition known as neurofibromatosis (NF). There are different types of NF, but type 1 is the most common.",MedQuAD,1
How to diagnose Myelodysplastic/ Myeloproliferative Neoplasms ?,"Tests that examine the blood and bone marrow are used to detect (find) and diagnose myelodysplastic/myeloproliferative neoplasms. The following tests and procedures may be used:         -   Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease such as an enlarged spleen and liver. A history of the patients health habits and past illnesses and treatments will also be taken.     -   Complete blood count (CBC) with differential : A procedure in which a sample of blood is drawn and checked for the following:                - The number of red blood cells and platelets.       - The number and type of white blood cells.      - The amount of hemoglobin (the protein that carries oxygen) in the red blood cells.       - The portion of the sample made up of red blood cells.              -   Peripheral blood smear : A procedure in which a sample of blood is checked for blast cells, the number and kinds of white blood cells, the number of platelets, and changes in the shape of blood cells.    -   Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease.     -   Bone marrow aspiration and biopsy : The removal of a small piece of bone and bone marrow by inserting a needle into the hipbone or breastbone. A pathologist views both the bone and bone marrow samples under a microscope to look for abnormal cells.  The following tests may be done on the sample of tissue that is removed:               -  Cytogenetic analysis : A test in which cells in a sample of blood or bone marrow are viewed under a microscope to look for certain changes in the chromosomes. The cancer cells in myelodysplastic/myeloproliferative neoplasms do not contain the Philadelphia chromosome that is present in chronic myelogenous leukemia.      -  Immunocytochemistry : A test that uses antibodies to check for certain antigens in a sample of bone marrow. The antibody is usually linked to a radioactive substance or a dye that causes the cells in the sample to light up under a microscope. This type of test is used to tell the difference between myelodysplastic/myeloproliferative neoplasms, leukemia, and other conditions.","Tests that examine the blood and bone marrow are used to detect (find) and diagnose myelodysplastic/myeloproliferative neoplasms. The following tests and procedures may be used:         -   Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease such as an enlarged spleen and liver. A history of the patients health habits and past illnesses and treatments will also be taken.     -   Complete blood count (CBC) with differential : A procedure in which a sample of blood is drawn and checked for the following:                - The number of red blood cells and platelets.       - The number and type of white blood cells.      - The amount of hemoglobin (the protein that carries oxygen) in the red blood cells.       - The portion of the sample made up of red blood cells.              -   Peripheral blood smear : A procedure in which a sample of blood is checked for blast cells, the number and kinds of white blood cells, the number of platelets, and changes in the shape of blood cells.    -   Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease.     -   Bone marrow aspiration and biopsy : The removal of a small piece of bone and bone marrow by inserting a needle into the hipbone or breastbone. A pathologist views both the bone and bone marrow samples under a microscope to look for abnormal cells.  The following tests may be done on the sample of tissue that is removed:               -  Cytogenetic analysis : A test in which cells in a sample of blood or bone marrow are viewed under a microscope to look for certain changes in the chromosomes. The cancer cells in myelodysplastic/myeloproliferative neoplasms do not contain the Philadelphia chromosome that is present in chronic myelogenous leukemia.      -  Immunocytochemistry : A test that uses antibodies to check for certain antigens in a sample of bone marrow. The antibody is usually linked to a radioactive substance or a dye that causes the cells in the sample to light up under a microscope. This type of test is used to tell the difference between myelodysplastic/myeloproliferative neoplasms, leukemia, and other conditions.",MedQuAD,1
What are the symptoms of Partial atrioventricular canal ?,"What are the signs and symptoms of Partial atrioventricular canal? The Human Phenotype Ontology provides the following list of signs and symptoms for Partial atrioventricular canal. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Congestive heart failure - Cyanosis - First degree atrioventricular block - Inlet ventricular septal defect - Primum atrial septal defect - Pulmonary hypertension - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Partial atrioventricular canal? The Human Phenotype Ontology provides the following list of signs and symptoms for Partial atrioventricular canal. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Congestive heart failure - Cyanosis - First degree atrioventricular block - Inlet ventricular septal defect - Primum atrial septal defect - Pulmonary hypertension - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",MedQuAD,1
What are the symptoms of Permanent neonatal diabetes mellitus ?,"What are the signs and symptoms of Permanent neonatal diabetes mellitus? The Human Phenotype Ontology provides the following list of signs and symptoms for Permanent neonatal diabetes mellitus. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the ear - Abnormality of the immune system - Anteverted nares - Autosomal dominant inheritance - Beta-cell dysfunction - Clinodactyly - Diabetes mellitus - Downturned corners of mouth - Hyperglycemia - Hypsarrhythmia - Intrauterine growth retardation - Ketoacidosis - Limb joint contracture - Long philtrum - Motor delay - Muscle weakness - Muscular hypotonia of the trunk - Peripheral neuropathy - Prominent metopic ridge - Ptosis - Radial deviation of finger - Seizures - Small for gestational age - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Permanent neonatal diabetes mellitus? The Human Phenotype Ontology provides the following list of signs and symptoms for Permanent neonatal diabetes mellitus. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the ear - Abnormality of the immune system - Anteverted nares - Autosomal dominant inheritance - Beta-cell dysfunction - Clinodactyly - Diabetes mellitus - Downturned corners of mouth - Hyperglycemia - Hypsarrhythmia - Intrauterine growth retardation - Ketoacidosis - Limb joint contracture - Long philtrum - Motor delay - Muscle weakness - Muscular hypotonia of the trunk - Peripheral neuropathy - Prominent metopic ridge - Ptosis - Radial deviation of finger - Seizures - Small for gestational age - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",MedQuAD,1
what research (or clinical trials) is being done for Childhood Liver Cancer ?,"New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     Targeted therapy     Targeted therapy is a type of treatment that uses drugs or other substances to attack specific cancer cells. Targeted therapies usually cause less harm to normal cells than chemotherapy or radiation therapy do. Targeted therapy is being studied for the treatment of undifferentiated embryonal sarcoma of the liver and liver cancer that has come back.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Treatment Options in Clinical Trials
                    Check the list of NCI-supported cancer clinical trials that are now accepting patients with childhood liver cancer. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your child's doctor about clinical trials that may be right for your child. General information about clinical trials is available from the NCI website.","New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     Targeted therapy     Targeted therapy is a type of treatment that uses drugs or other substances to attack specific cancer cells. Targeted therapies usually cause less harm to normal cells than chemotherapy or radiation therapy do. Targeted therapy is being studied for the treatment of undifferentiated embryonal sarcoma of the liver and liver cancer that has come back.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Treatment Options in Clinical Trials
                    Check the list of NCI-supported cancer clinical trials that are now accepting patients with childhood liver cancer. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your child's doctor about clinical trials that may be right for your child. General information about clinical trials is available from the NCI website.",MedQuAD,1
Who is at risk for Non-Small Cell Lung Cancer? ?,"Smoking is the major risk factor for non-small cell lung cancer. Anything that increases your chance of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesn't mean that you will not get cancer. Talk to your doctor if you think you may be at risk for lung cancer.    Risk factors for lung cancer include the following:            -  Smoking cigarettes, pipes, or cigars, now or in the past. This is the most important risk factor for lung cancer. The earlier in life a person starts smoking, the more often a person smokes, and the more years a person smokes, the greater the risk of lung cancer.      -  Being exposed to secondhand smoke.     - Being exposed to radiation from any of the following:                  -  Radiation therapy to the breast or chest.       -  Radon in the home or workplace.       -  Imaging tests such as CT scans.       - Atomic bomb radiation.                 -  Being exposed to asbestos, chromium, nickel, beryllium, arsenic, soot, or tar in the workplace.     -  Living where there is air pollution.     -  Having a family history of lung cancer.     -  Being infected with the human immunodeficiency virus (HIV).     -  Taking beta carotene supplements and being a heavy smoker.           Older age is the main risk factor for most cancers. The chance of getting cancer increases as you get older.     When smoking is combined with other risk factors, the risk of lung cancer is increased.","Smoking is the major risk factor for non-small cell lung cancer. Anything that increases your chance of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesn't mean that you will not get cancer. Talk to your doctor if you think you may be at risk for lung cancer.    Risk factors for lung cancer include the following:            -  Smoking cigarettes, pipes, or cigars, now or in the past. This is the most important risk factor for lung cancer. The earlier in life a person starts smoking, the more often a person smokes, and the more years a person smokes, the greater the risk of lung cancer.      -  Being exposed to secondhand smoke.     - Being exposed to radiation from any of the following:                  -  Radiation therapy to the breast or chest.       -  Radon in the home or workplace.       -  Imaging tests such as CT scans.       - Atomic bomb radiation.                 -  Being exposed to asbestos, chromium, nickel, beryllium, arsenic, soot, or tar in the workplace.     -  Living where there is air pollution.     -  Having a family history of lung cancer.     -  Being infected with the human immunodeficiency virus (HIV).     -  Taking beta carotene supplements and being a heavy smoker.           Older age is the main risk factor for most cancers. The chance of getting cancer increases as you get older.     When smoking is combined with other risk factors, the risk of lung cancer is increased.",MedQuAD,1
Who is at risk for Childhood Central Nervous System Atypical Teratoid/Rhabdoid Tumor? ?,"Certain genetic changes may increase the risk of atypical teratoid/rhabdoid tumor. Anything that increases the risk of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesnt mean that you will not get cancer. Talk with your child's doctor if you think your child may be at risk.   Atypical teratoid/rhabdoid tumor may be linked to changes in the tumor suppressor genes SMARCB1 or SMARCA4. Genes of this type make a protein that helps control cell growth. Changes in the DNA of tumor suppressor genes like SMARCB1 or SMARCA4 may lead to cancer.   Changes in the SMARCB1 or SMARCA4 genes may be inherited (passed on from parents to offspring). When this gene change is inherited, tumors may form in two parts of the body at the same time (for example, in the brain and the kidney). For patients with AT/RT, genetic counseling (a discussion with a trained professional about inherited diseases and a possible need for gene testing) may be recommended.","Certain genetic changes may increase the risk of atypical teratoid/rhabdoid tumor. Anything that increases the risk of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesnt mean that you will not get cancer. Talk with your child's doctor if you think your child may be at risk.   Atypical teratoid/rhabdoid tumor may be linked to changes in the tumor suppressor genes SMARCB1 or SMARCA4. Genes of this type make a protein that helps control cell growth. Changes in the DNA of tumor suppressor genes like SMARCB1 or SMARCA4 may lead to cancer.   Changes in the SMARCB1 or SMARCA4 genes may be inherited (passed on from parents to offspring). When this gene change is inherited, tumors may form in two parts of the body at the same time (for example, in the brain and the kidney). For patients with AT/RT, genetic counseling (a discussion with a trained professional about inherited diseases and a possible need for gene testing) may be recommended.",MedQuAD,1
What are the symptoms of Pachygyria with mental retardation and seizures ?,"What are the signs and symptoms of Pachygyria with mental retardation and seizures? The Human Phenotype Ontology provides the following list of signs and symptoms for Pachygyria with mental retardation and seizures. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cognitive impairment 90% Seizures 90% Premature birth 50% Abnormality of the skeletal system - Arachnoid cyst - Atypical absence seizures - Autosomal recessive inheritance - Generalized tonic-clonic seizures - Intellectual disability - Pachygyria - Profound static encephalopathy - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Pachygyria with mental retardation and seizures? The Human Phenotype Ontology provides the following list of signs and symptoms for Pachygyria with mental retardation and seizures. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cognitive impairment 90% Seizures 90% Premature birth 50% Abnormality of the skeletal system - Arachnoid cyst - Atypical absence seizures - Autosomal recessive inheritance - Generalized tonic-clonic seizures - Intellectual disability - Pachygyria - Profound static encephalopathy - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",MedQuAD,1
What is (are) Prune belly syndrome ?,"Prune belly syndrome, also called Eagle-Barrett syndrome, is a condition characterized by three main features: (1) a lack of abdominal muscles, causing the skin on the belly area to wrinkle and appear ""prune-like"";  (2) undescended testicles in males; and (3) urinary tract problems. The incidence of prune belly syndrome (PBS) is 1 in 40,000 births; 95% of cases occur in boys. The severity of symptoms in infants with prune belly syndrome can vary greatly from child to child.  At one end of the spectrum, the condition may cause severe urogenital and pulmonary problems incompatible with life (resulting in stillbirth); at the other end of the spectrum, the condition may cause few, if any, urological abnormalities that require no treatment other than  undescended testicle repair in males. The cause of the condition is unknown.","Prune belly syndrome, also called Eagle-Barrett syndrome, is a condition characterized by three main features: (1) a lack of abdominal muscles, causing the skin on the belly area to wrinkle and appear ""prune-like"";  (2) undescended testicles in males; and (3) urinary tract problems. The incidence of prune belly syndrome (PBS) is 1 in 40,000 births; 95% of cases occur in boys. The severity of symptoms in infants with prune belly syndrome can vary greatly from child to child.  At one end of the spectrum, the condition may cause severe urogenital and pulmonary problems incompatible with life (resulting in stillbirth); at the other end of the spectrum, the condition may cause few, if any, urological abnormalities that require no treatment other than  undescended testicle repair in males. The cause of the condition is unknown.",MedQuAD,1
